,Date,Sentiment_score,Total_comments
0,2021-11-15,0.2706272077268774,147
1,2021-11-16,0.1444627709510456,480
2,2021-11-17,0.06432884492411166,108
3,2021-11-18,0.08118202764281955,141
4,2021-11-19,0.08790620404454418,183
5,2021-11-20,0.056391452823324785,101
6,2021-11-21,0.11478756926225042,597
7,2021-11-22,0.06220726459907456,1396
8,2021-11-23,0.047811973556893525,512
9,2021-11-24,0.04859485141751718,520
10,2021-11-25,0.05317792349735975,464
11,2021-11-26,0.04076901501576683,425
12,2021-11-27,0.07897634977207531,135
13,2021-11-28,0.06854315800267989,196
14,2021-11-29,0.040305374918856746,175
15,2021-11-30,0.05120591025396218,214
16,2021-12-01,0.08600199030142555,149
17,2021-12-02,0.04718662013050504,212
18,2021-12-03,0.056971467603189545,153
19,2021-12-04,0.09561391197391536,140
20,2021-12-05,0.03527501203348189,161
21,2021-12-06,0.04834837203596556,226
22,2021-12-07,0.07157911544564279,208
23,2021-12-08,0.06655649604070381,146
24,2021-12-09,0.05261847155114313,305
25,2021-12-10,0.04989718266004941,459
26,2021-12-11,0.030371732681382366,271
27,2021-12-12,0.06288201746913008,218
28,2021-12-13,0.10235629074673609,571
29,2021-12-14,0.10990171081167784,933
30,2021-12-15,0.04323480297768861,301
31,2021-12-16,0.06299556380758854,365
32,2021-12-17,0.14062003414558152,397
33,2021-12-18,0.048536462433170564,273
34,2021-12-19,0.15158343193452917,1104
35,2021-12-20,0.08963784374752513,904
36,2021-12-21,0.09519949726853925,335
37,2021-12-22,0.08042964554363428,165
38,2021-12-23,0.09290474552206522,179
